iata,type,name,municipality,iso_country,latitude,longitude,scheduled,tz
AAA,medium_airport,Anaa Airport,Anaa,PF,-17.3526,-145.5100,yes,Pacific/Tahiti
AAB,small_airport,Arrabury Airport,Tanbar,AU,-26.6964,141.0487,no,Australia/Brisbane
AAC,large_airport,El Arish International Airport,El Arish,EG,31.0553,33.8280,yes,Africa/Cairo
AAD,small_airport,Adado Airport,Adado,SO,6.0958,46.6375,no,Africa/Mogadishu
AAE,large_airport,Annaba Rabah Bitat Airport,Annaba,DZ,36.8268,7.8133,yes,Africa/Algiers
AAF,small_airport,Apalachicola Regional Airport,Apalachicola,US,29.7275,-85.0275,no,America/New_York
AAH,small_airport,Aachen-Merzbrück Airport,Aachen,DE,50.8231,6.1864,no,Europe/Berlin
AAI,small_airport,Arraias Airport,Arraias,BR,-13.0252,-46.8841,no,America/Araguaina
AAJ,small_airport,Cayana Airstrip,Awaradam,SR,3.8987,-55.5779,no,America/Paramaribo
AAK,small_airport,Aranuka Airport,Buariki,KI,0.1853,173.6370,yes,Pacific/Tarawa
AAL,large_airport,Aalborg Airport,Aalborg,DK,57.0948,9.8499,yes,Europe/Copenhagen
AAM,medium_airport,Malamala Airport,Malamala,ZA,-24.8169,31.5441,no,Africa/Johannesburg
AAN,large_airport,Al Ain International Airport,Al Ain,AE,24.2617,55.6092,yes,Asia/Dubai
AAO,medium_airport,Anaco Airport,Anaco,VE,9.4302,-64.4707,no,America/Caracas
AAP,medium_airport,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,-0.3745,117.2501,yes,Asia/Makassar
AAQ,medium_airport,Anapa Vityazevo Airport,Krasnyi Kurgan,RU,45.0021,37.3473,yes,Europe/Moscow
AAR,large_airport,Aarhus Airport,Aarhus,DK,56.3033,10.6183,yes,Europe/Copenhagen
AAS,small_airport,Apalapsili Airport,Apalapsili,ID,-3.8825,139.3109,no,Asia/Jayapura
AAT,medium_airport,Altay Xuedu Airport,Altay,CN,47.7499,88.0858,yes,Asia/Shanghai
AAU,small_airport,Asau Airport,Asau,WS,-13.5051,-172.6279,no,Pacific/Apia
AAV,medium_airport,Allah Valley Airport,Surallah,PH,6.3679,124.7524,no,Asia/Manila
AAX,medium_airport,Romeu Zema Airport,Araxá,BR,-19.5632,-46.9604,yes,America/Sao_Paulo
AAY,medium_airport,Al Ghaydah International Airport,Al Ghaydah,YE,16.1933,52.1742,yes,Asia/Aden
AAZ,small_airport,Quezaltenango Airport,Quezaltenango,GT,14.8656,-91.5020,yes,America/Guatemala
ABA,large_airport,Abakan International Airport,Abakan,RU,53.7400,91.3850,yes,Asia/Krasnoyarsk
ABB,large_airport,Asaba International Airport,Asaba,NG,6.2042,6.6653,yes,Africa/Lagos
ABC,medium_airport,Albacete Airport / Los Llanos Air Base,Albacete,ES,38.9485,-1.8635,no,Europe/Madrid
ABD,large_airport,Abadan Ayatollah Jami International Airport,Abadan,IR,30.3679,48.2301,yes,Asia/Tehran
ABE,medium_airport,Lehigh Valley International Airport,Allentown/Bethlehem,US,40.6518,-75.4428,yes,America/New_York
ABF,small_airport,Abaiang Airport,Abaiang,KI,1.7986,173.0410,no,Pacific/Tarawa
ABG,small_airport,Abingdon Downs Airport,Abingdon Downs,AU,-17.6088,143.1835,no,Australia/Brisbane
ABH,small_airport,Alpha Airport,Alpha,AU,-23.6528,146.5827,no,Australia/Brisbane
ABI,medium_airport,Abilene Regional Airport,Abilene,US,32.4113,-99.6819,yes,America/Chicago
ABJ,large_airport,Félix-Houphouët-Boigny International Airport,Abidjan,CI,5.2614,-3.9263,yes,Africa/Abidjan
ABK,medium_airport,Kebri Dahar Airport,Kebri Dahar,ET,6.7326,44.2413,yes,Africa/Addis_Ababa
ABL,medium_airport,Ambler Airport,Ambler,US,67.1055,-157.8553,yes,America/Anchorage
ABM,small_airport,Northern Peninsula Airport,Bamaga,AU,-10.9462,142.4551,yes,Australia/Brisbane
ABN,small_airport,Albina Airport,Albina,SR,5.5127,-54.0501,no,America/Paramaribo
ABO,small_airport,Aboisso Airport,Aboisso,CI,5.4619,-3.2347,no,Africa/Abidjan
ABP,small_airport,Atkamba Airport,Atkamba Mission,PG,-6.0646,141.0952,no,Pacific/Port_Moresby
ABQ,large_airport,Albuquerque International Sunport,Albuquerque,US,35.0400,-106.6089,yes,America/Denver
ABR,medium_airport,Aberdeen Regional Airport,Aberdeen,US,45.4491,-98.4218,yes,America/Chicago
ABS,medium_airport,Abu Simbel Airport,Abu Simbel,EG,22.3759,31.6117,yes,Africa/Cairo
ABT,medium_airport,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,SA,20.2985,41.6362,yes,Asia/Riyadh
ABU,small_airport,AA Bere Tallo (Haliwen) Airport,Atambua,ID,-9.0748,124.9033,yes,Asia/Makassar
ABV,large_airport,Nnamdi Azikiwe International Airport,Abuja,NG,9.0068,7.2632,yes,Africa/Lagos
ABX,medium_airport,Albury Airport,East Albury,AU,-36.0668,146.9591,yes,Australia/Sydney
ABY,medium_airport,Southwest Georgia Regional Airport,Albany,US,31.5329,-84.1962,yes,America/New_York
ABZ,large_airport,Aberdeen International Airport,Aberdeen,GB,57.2019,-2.1978,yes,Europe/London
ACA,large_airport,General Juan N. Álvarez International Airport,Acapulco,MX,16.7571,-99.7531,yes,America/Mexico_City
ACB,small_airport,Antrim County Airport,Bellaire,US,44.9886,-85.1984,no,America/Detroit
ACC,large_airport,Kotoka International Airport,Accra,GH,5.6052,-0.1668,yes,Africa/Accra
ACD,small_airport,Alcides Fernández Airport,Acandí,CO,8.4978,-77.2741,no,America/Bogota
ACE,large_airport,César Manrique-Lanzarote Airport,San Bartolomé,ES,28.9455,-13.6052,yes,Atlantic/Canary
ACF,small_airport,Aral Tarim Airport,Aral,CN,40.4347,81.2621,yes,Asia/Shanghai
ACH,medium_airport,Sankt Gallen Altenrhein Airport,St. Gallen,CH,47.4850,9.5608,yes,Europe/Zurich
ACI,medium_airport,Alderney Airport,Saint Anne,GG,49.7061,-2.2147,yes,Europe/Guernsey
ACJ,medium_airport,Anuradhapura Airport,Anuradhapura,LK,8.3015,80.4285,no,Asia/Colombo
ACK,medium_airport,Nantucket Memorial Airport,Nantucket,US,41.2531,-70.0602,yes,America/New_York
ACM,small_airport,Arica Airport,Arica,CO,-2.1437,-71.7593,no,America/Bogota
ACN,medium_airport,Ciudad Acuña International Airport,Ciudad Acuña,MX,29.3337,-101.1006,no,America/Matamoros
ACO,small_airport,Cóbano Airport,Cóbano,CR,9.6934,-85.0912,no,America/Costa_Rica
ACP,small_airport,Sahand Airport,Maragheh,IR,37.3480,46.1279,no,Asia/Tehran
ACR,small_airport,Araracuara Airport,Araracuara,CO,-0.6009,-72.3980,no,America/Bogota
ACS,medium_airport,Achinsk Airport,Achinsk,RU,56.2692,90.5751,no,Asia/Krasnoyarsk
ACT,medium_airport,Waco Regional Airport,Waco,US,31.6113,-97.2305,yes,America/Chicago
ACU,small_airport,Achutupu Airport,Mamitupu,PA,9.1885,-77.9942,no,America/Panama
ACV,medium_airport,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,40.9781,-124.1090,yes,America/Los_Angeles
ACX,medium_airport,Xingyi Wanfenglin Airport,Xingyi,CN,25.0834,104.9608,yes,Asia/Shanghai
ACY,medium_airport,Atlantic City International Airport,Atlantic City,US,39.4562,-74.5775,yes,America/New_York
ACZ,medium_airport,Zabol Airport,Zabol,IR,31.0983,61.5439,no,Asia/Tehran
ADA,large_airport,Adana Şakirpaşa Airport,Seyhan,TR,36.9822,35.2804,yes,Europe/Istanbul
ADB,large_airport,Adnan Menderes International Airport,Gaziemir,TR,38.2924,27.1570,yes,Europe/Istanbul
ADC,small_airport,Andakombe Airport,Andekombe,PG,-7.1372,145.7447,no,Pacific/Port_Moresby
ADD,large_airport,Addis Ababa Bole International Airport,Addis Ababa,ET,8.9779,38.7993,yes,Africa/Addis_Ababa
ADE,large_airport,Aden International Airport,Aden,YE,12.8296,45.0300,yes,Asia/Aden
ADF,medium_airport,Adıyaman Airport,Adıyaman,TR,37.7314,38.4689,yes,Europe/Istanbul
ADG,small_airport,Lenawee County Airport,Adrian,US,41.8662,-84.0780,no,America/Detroit
ADH,small_airport,Aldan Airport,Aldan,RU,58.6028,125.4090,no,Asia/Yakutsk
ADI,medium_airport,Arandis Airport,Arandis,NA,-22.4619,14.9793,no,Africa/Windhoek
ADJ,large_airport,Marka International (Amman Civil) Airport,Amman,JO,31.9727,35.9916,yes,Asia/Amman
ADK,medium_airport,Adak Airport,Adak,US,51.8836,-176.6428,yes,America/Adak
ADL,large_airport,Adelaide International Airport,Adelaide,AU,-34.9475,138.5334,yes,Australia/Adelaide
ADM,small_airport,Ardmore Municipal Airport,Ardmore,US,34.3030,-97.0196,no,America/Chicago
ADO,small_airport,Andamooka Airport,Andamooka,AU,-30.4383,137.1370,no,Australia/Adelaide
ADP,medium_airport,Ampara Airport,Ampara,LK,7.3367,81.6239,no,Asia/Colombo
ADQ,medium_airport,Kodiak Airport,Kodiak,US,57.7500,-152.4940,yes,America/Anchorage
ADR,small_airport,Robert F Swinnie Airport,Andrews,US,33.4517,-79.5262,no,America/New_York
ADS,small_airport,Addison Airport,Dallas,US,32.9686,-96.8364,no,America/Chicago
ADT,medium_airport,Ada Regional Airport,Ada,US,34.8052,-96.6720,no,America/Chicago
ADU,medium_airport,Ardabil Airport,Ardabil,IR,38.3257,48.4244,yes,Asia/Tehran
ADV,small_airport,El Daein Airport,El Daein,SD,11.4023,26.1186,no,Africa/Khartoum
ADW,medium_airport,Joint Base Andrews,Camp Springs,US,38.8108,-76.8670,no,America/New_York
ADX,medium_airport,Leuchars Station Airfield,"Leuchars, Fife",GB,56.3740,-2.8689,no,Europe/London
ADY,small_airport,Alldays Airport,Alldays,ZA,-22.6790,29.0555,no,Africa/Johannesburg
ADZ,large_airport,Gustavo Rojas Pinilla International Airport,San Andrés,CO,12.5836,-81.7112,yes,America/Bogota
AEA,small_airport,Abemama Airport,Abemama,KI,0.4908,173.8303,no,Pacific/Tarawa
AEB,medium_airport,Baise (Bose) Bama Airport,Baise (Tianyang),CN,23.7206,106.9600,yes,Asia/Shanghai
AEE,small_airport,Adareil Airport,Adar,SS,10.0536,32.9594,no,Africa/Juba
AEG,medium_airport,Aek Godang Airport,Padang Sidempuan,ID,1.4001,99.4305,no,Asia/Jakarta
AEH,medium_airport,Abeche Airport,Abeche,TD,13.8470,20.8443,yes,Africa/Ndjamena
AEK,small_airport,Aseki Airport,Aseki,PG,-7.3508,146.1940,no,Pacific/Port_Moresby
AEL,small_airport,Albert Lea Municipal Airport,Albert Lea,US,43.6815,-93.3672,no,America/Chicago
AEM,small_airport,Amgu Airport,Amgu,RU,45.8413,137.6736,no,Asia/Vladivostok
AEO,small_airport,Aioun el Atrouss Airport,Aioun El Atrouss,MR,16.7113,-9.6379,no,Africa/Nouakchott
AEP,large_airport,Aeroparque Jorge Newbery,Buenos Aires,AR,-34.5594,-58.4155,yes,America/Argentina/Buenos_Aires
AEQ,small_airport,Ar Horqin Airport,Chifeng,CN,43.9084,120.1510,no,Asia/Shanghai
AER,large_airport,Sochi International Airport,Sochi,RU,43.4499,39.9566,yes,Europe/Moscow
AES,large_airport,Ålesund Airport,Ålesund,NO,62.5604,6.1108,yes,Europe/Oslo
AET,small_airport,Allakaket Airport,Allakaket,US,66.5518,-152.6220,yes,America/Anchorage
AEU,medium_airport,Abu Musa Island Airport,Abu Musa,IR,25.8757,55.0330,yes,Asia/Tehran
AEX,medium_airport,Alexandria International Airport,Alexandria,US,31.3258,-92.5467,yes,America/Chicago
AEY,large_airport,Akureyri International Airport,Akureyri,IS,65.6566,-18.0720,yes,Atlantic/Reykjavik
AFA,medium_airport,Suboficial Ay Santiago Germano Airport,San Rafael,AR,-34.5883,-68.4039,yes,America/Argentina/Mendoza
AFD,small_airport,Port Alfred Airport,Port Alfred,ZA,-33.5551,26.8817,no,Africa/Johannesburg
AFF,small_airport,USAF Academy Airfield,Colorado Springs,US,38.9725,-104.8211,no,America/Denver
AFI,small_airport,Amalfi Airport,Amalfi,CO,6.8950,-75.0473,no,America/Bogota
AFL,medium_airport,Piloto Osvaldo Marques Dias Airport,Alta Floresta,BR,-9.8664,-56.1063,yes,America/Cuiaba
AFN,small_airport,Jaffrey Airfield Silver Ranch Airport,Jaffrey,US,42.8051,-72.0030,no,America/New_York
AFO,small_airport,Afton Municipal Airport,Afton,US,42.7112,-110.9420,no,America/Denver
AFR,small_airport,Afore Airstrip,Afore,PG,-9.1387,148.3907,no,Pacific/Port_Moresby
AFS,small_airport,Sugraly Airport,Zarafshan,UZ,41.6138,64.2330,no,Asia/Samarkand
AFT,small_airport,Afutara Aerodrome,Bila,SB,-9.1914,160.9486,no,Pacific/Guadalcanal
AFW,medium_airport,Perot Field/Fort Worth Alliance Airport,Fort Worth,US,32.9904,-97.3195,no,America/Chicago
AFY,medium_airport,Afyon Air Base,Afyonkarahisar,TR,38.7264,30.6011,no,Europe/Istanbul
AFZ,medium_airport,Sabzevar National Airport,Sabzevar,IR,36.1681,57.5952,yes,Asia/Tehran
AGA,large_airport,Al Massira Airport,Agadir (Temsia),MA,30.3225,-9.4120,yes,Africa/Casablanca
AGB,medium_airport,Augsburg Airport,Augsburg,DE,48.4253,10.9317,no,Europe/Berlin
AGC,medium_airport,Allegheny County Airport,Pittsburgh,US,40.3544,-79.9302,no,America/New_York
AGD,small_airport,Anggi Airport,Anggi-Papua Island,ID,-1.3858,133.8737,no,Asia/Jayapura
AGE,small_airport,Wangerooge Airport,Wangerooge,DE,53.7825,7.9196,yes,Europe/Berlin
AGF,medium_airport,Agen La Garenne airport,Agen,FR,44.1742,0.5931,no,Europe/Paris
AGG,small_airport,Angoram Airport,Angoram,PG,-4.0571,144.0738,no,Pacific/Port_Moresby
AGH,medium_airport,Ängelholm-Helsingborg Airport,Ängelholm,SE,56.2961,12.8471,yes,Europe/Stockholm
AGI,small_airport,Wageningen Airstrip,Wageningen,SR,5.8413,-56.6732,yes,America/Paramaribo
AGJ,small_airport,Aguni Airport,Aguni,JP,26.5928,127.2403,yes,Asia/Tokyo
AGK,small_airport,Kagua Airport,Kagua,PG,-6.3964,143.8536,no,Pacific/Port_Moresby
AGL,small_airport,Wanigela Airport,Wanigela,PG,-9.3375,149.1556,no,Pacific/Port_Moresby
AGO,small_airport,Magnolia Municipal Airport / Ralph C Weiser Field,Magnolia,US,33.2280,-93.2170,no,America/Chicago
AGP,large_airport,Málaga-Costa del Sol Airport,Málaga,ES,36.6749,-4.4991,yes,Europe/Madrid
AGR,medium_airport,Agra Airport / Agra Air Force Station,Agra,IN,27.1580,77.9610,yes,Asia/Kolkata
AGS,medium_airport,Augusta Regional At Bush Field,Augusta,US,33.3699,-81.9645,yes,America/New_York
AGT,large_airport,Guaraní International Airport,Ciudad del Este,PY,-25.4572,-54.8395,yes,America/Asuncion
AGU,large_airport,Aguascalientes International Airport,Aguascalientes,MX,21.6996,-102.3184,yes,America/Mexico_City
AGV,medium_airport,Oswaldo Guevara Mujica Airport,Acarigua,VE,9.5534,-69.2379,no,America/Caracas
AGW,small_airport,Agnew Airport,Agnew,AU,-12.1456,142.1494,no,Australia/Brisbane
AGX,medium_airport,Agatti Airport,Agatti,IN,10.8237,72.1760,yes,Asia/Kolkata
AGZ,medium_airport,Aggeneys Airport,Aggeneys,ZA,-29.2818,18.8139,no,Africa/Johannesburg
AHA,medium_airport,Maa Mahamaya Airport,Ambikapur,IN,22.9875,83.1961,yes,Asia/Kolkata
AHB,large_airport,Abha International Airport,Abha,SA,18.2404,42.6566,yes,Asia/Riyadh
AHC,small_airport,Amedee Army Air Field,Herlong,US,40.2662,-120.1530,no,America/Los_Angeles
AHD,small_airport,Ardmore Downtown Executive Airport,Ardmore,US,34.1470,-97.1227,no,America/Chicago
AHE,medium_airport,Ahe Airport,Ahe Atoll,PF,-14.4281,-146.2570,yes,Pacific/Tahiti
AHF,small_airport,Arapahoe Municipal Airport,Arapahoe,US,40.3416,-99.9078,no,America/Chicago
AHG,small_airport,Agalega Island Airstrip,Vingt Cinq,MU,-10.3731,56.6098,no,Indian/Mauritius
AHH,small_airport,Amery Municipal Airport,Amery,US,45.2811,-92.3754,no,America/Chicago
AHI,small_airport,Amahai Airport,Amahai,ID,-3.3479,128.9271,no,Asia/Jayapura
AHJ,medium_airport,Hongyuan Airport,Ngawa (Hongyuan),CN,32.5315,102.3522,no,Asia/Shanghai
AHL,small_airport,Aishalton Airport,Aishalton,GY,2.4740,-59.3208,no,America/Guyana
AHM,small_airport,Ashland Municipal Airport Sumner Parker Field,Ashland,US,42.1903,-122.6606,no,America/Los_Angeles
AHN,medium_airport,Athens Ben Epps Airport,Athens,US,33.9488,-83.3256,no,America/New_York
AHO,medium_airport,Alghero-Fertilia Airport,Alghero,IT,40.6321,8.2908,yes,Europe/Rome
AHS,small_airport,Ahuas Airport,Ahuas,HN,15.4722,-84.3522,no,America/Tegucigalpa
AHU,medium_airport,Cherif Al Idrissi Airport,Al Hoceima,MA,35.1771,-3.8395,no,Africa/Casablanca
AHY,small_airport,Ambatolhy Airport,Ambatolahy,MG,-20.0158,45.5350,no,Indian/Antananarivo
AHZ,small_airport,L'Alpe d'Huez - Henri Giraud Altiport,"Huez, Isère",FR,45.0874,6.0836,no,Europe/Paris
AIA,medium_airport,Alliance Municipal Airport,Alliance,US,42.0525,-102.8040,yes,America/Denver
AIC,small_airport,Ailinglaplap Airok Airport,Bigatyelang Island,MH,7.2794,168.8257,no,Pacific/Majuro
AID,small_airport,Anderson Municipal Darlington Field,Anderson,US,40.1086,-85.6130,no,America/Indiana/Indianapolis
AIE,small_airport,Aiome Airport,Aiome,PG,-5.1457,144.7307,no,Pacific/Port_Moresby
AIF,small_airport,Marcelo Pires Halzhausen Airport,Assis,BR,-22.6386,-50.4560,no,America/Sao_Paulo
AIG,small_airport,Yalinga Airport,Yalinga,CF,6.5200,23.2600,no,Africa/Bangui
AIH,small_airport,Aiambak Airport,Aiambak,PG,-7.3428,141.2675,no,Pacific/Port_Moresby
AII,small_airport,Ali-Sabieh Airport,Ali-Sabieh,DJ,11.1469,42.7200,no,Africa/Djibouti
AIK,small_airport,Aiken Regional Airport,Aiken,US,33.6494,-81.6850,no,America/New_York
AIL,small_airport,Ailigandí Airport,Isla Lorenzo Bello,PA,9.2226,-78.0236,no,America/Panama
AIM,small_airport,Ailuk Airport,Ailuk Island,MH,10.2168,169.9830,no,Pacific/Majuro
AIN,medium_airport,Wainwright Airport,Wainwright,US,70.6380,-159.9950,yes,America/Anchorage
AIO,small_airport,Atlantic Municipal Airport,Atlantic,US,41.4073,-95.0469,no,America/Chicago
AIP,small_airport,Adampur Airport,Adampur,IN,31.4338,75.7588,yes,Asia/Kolkata
AIR,small_airport,Aripuanã Airport,Aripuanã,BR,-10.1874,-59.4575,no,America/Cuiaba
AIS,small_airport,Arorae Island Airport,Arorae Island,KI,-2.6162,176.8022,no,Pacific/Tarawa
AIT,small_airport,Aitutaki Airport,Aitutaki,CK,-18.8309,-159.7640,yes,Pacific/Rarotonga
AIU,small_airport,Enua Airport,Atiu Island,CK,-19.9678,-158.1190,yes,Pacific/Rarotonga
AIV,small_airport,George Downer Airport,Aliceville,US,33.1065,-88.1978,no,America/Chicago
AIW,small_airport,Ai-Ais Airport,Ai-Ais,NA,-27.9950,17.5966,no,Africa/Windhoek
AIY,small_airport,Araçuaí Airport,Araçuaí,BR,-16.8516,-42.0456,no,America/Sao_Paulo
AIZ,small_airport,Lee C Fine Memorial Airport,Kaiser Lake Ozark,US,38.0960,-92.5495,no,America/Chicago
AJA,medium_airport,Ajaccio Napoléon Bonaparte airport,Ajaccio,FR,41.9236,8.8029,yes,Europe/Paris
AJF,large_airport,Al-Jawf International Airport,Al-Jawf,SA,29.7833,40.1009,yes,Asia/Riyadh
AJI,medium_airport,Ağrı Airport,Ağrı,TR,39.6556,43.0257,yes,Europe/Istanbul
AJJ,small_airport,Akjoujt Airport,Akjoujt,MR,19.7280,-14.3772,no,Africa/Nouakchott
AJK,small_airport,Arak Airport,Araak,IR,34.1381,49.8473,no,Asia/Tehran
AJL,medium_airport,Lengpui Airport,Aizawl (Lengpui),IN,23.8406,92.6197,yes,Asia/Kolkata
AJN,medium_airport,Ouani Airport,Ouani,KM,-12.1310,44.4300,yes,Indian/Comoro
AJR,medium_airport,Arvidsjaur Airport,Arvidsjaur,SE,65.5903,19.2819,yes,Europe/Stockholm
AJS,small_airport,Punta Abreojos Airport,Mulegé,MX,26.7272,-113.5590,no,America/Mazatlan
AJU,medium_airport,Aracaju - Santa Maria Airport,Aracaju,BR,-10.9839,-37.0729,yes,America/Maceio
AJY,medium_airport,Mano Dayak International Airport,Agadez,NE,16.9660,8.0001,no,Africa/Niamey
AKA,small_airport,Ankang Fuqiang Airport,Ankang (Hanbin),CN,32.7570,108.8734,yes,Asia/Shanghai
AKB,small_airport,Atka Airport,Atka,US,52.2203,-174.2060,yes,America/Adak
AKC,medium_airport,Akron Fulton International Airport,Akron,US,41.0374,-81.4678,no,America/New_York
AKD,medium_airport,Akola Airport,Akola,IN,20.6989,77.0569,no,Asia/Kolkata
AKE,small_airport,Akieni Airport,Akieni,GA,-1.1397,13.9036,no,Africa/Libreville
AKF,medium_airport,Kufra Airport,Kufra,LY,24.1787,23.3140,yes,Africa/Tripoli
AKG,small_airport,Anguganak Airport,Anguganak,PG,-3.5605,142.2173,no,Pacific/Port_Moresby
AKH,medium_airport,Prince Sultan Air Base,Al Kharj,SA,24.0627,47.5805,no,Asia/Riyadh
AKI,small_airport,Akiak Airport,Akiak,US,60.9026,-161.2311,yes,America/Anchorage
AKJ,medium_airport,Asahikawa Airport,Higashikagura,JP,43.6708,142.4470,yes,Asia/Tokyo
AKK,small_airport,Akhiok Airport,Akhiok,US,56.9387,-154.1830,yes,America/Anchorage
AKL,large_airport,Auckland International Airport,Auckland,NZ,-37.0120,174.7863,yes,Pacific/Auckland
AKM,small_airport,Zakuoma Airport,ZaKouma,TD,10.8903,19.8172,no,Africa/Ndjamena
AKN,medium_airport,King Salmon Airport,King Salmon,US,58.6778,-156.6520,yes,America/Anchorage
AKO,small_airport,Colorado Plains Regional Airport,Akron,US,40.1756,-103.2220,no,America/Denver
AKP,medium_airport,Anaktuvuk Pass Airport,Anaktuvuk Pass,US,68.1336,-151.7430,yes,America/Anchorage
AKQ,small_airport,Astra Ksetra Airport,Menggala,ID,-4.6116,105.2320,no,Asia/Jakarta
AKR,medium_airport,Akure Airport,Akure,NG,7.2467,5.3010,yes,Africa/Lagos
AKS,small_airport,Gwaunaru'u Airport,Auki,SB,-8.7026,160.6820,yes,Pacific/Guadalcanal
AKT,medium_airport,RAF Akrotiri,Akrotiri,CY,34.5904,32.9879,no,Asia/Nicosia
AKU,medium_airport,Aksu Hongqipo Airport,Aksu (Onsu),CN,41.2625,80.2917,yes,Asia/Shanghai
AKV,small_airport,Akulivik Airport,Akulivik,CA,60.8186,-78.1486,yes,America/Toronto
AKW,medium_airport,Aghajari Airport,Omidiyeh,IR,30.7444,49.6772,no,Asia/Tehran
AKX,large_airport,Aktobe International Airport,Aktobe,KZ,50.2481,57.2041,yes,Asia/Aqtobe
AKY,medium_airport,Sittwe Airport,Sittwe,MM,20.1332,92.8707,yes,Asia/Yangon
ALA,large_airport,Almaty International Airport,Almaty,KZ,43.3543,77.0428,yes,Asia/Almaty
ALB,large_airport,Albany International Airport,Albany,US,42.7483,-73.8017,yes,America/New_York
ALC,large_airport,Alicante-Elche Miguel Hernández Airport,Alicante,ES,38.2822,-0.5582,yes,Europe/Madrid
ALD,small_airport,Alerta Airport,Fortaleza,PE,-11.6502,-69.2296,no,America/Lima
ALE,small_airport,Alpine Casparis Municipal Airport,Alpine,US,30.3842,-103.6840,no,America/Chicago
ALF,medium_airport,Alta Airport,Alta,NO,69.9761,23.3717,yes,Europe/Oslo
ALG,large_airport,Houari Boumediene Airport,Algiers,DZ,36.6939,3.2145,yes,Africa/Algiers
ALH,medium_airport,Albany Airport,Albany,AU,-34.9433,117.8089,yes,Australia/Perth
ALI,medium_airport,Alice International Airport,Alice,US,27.7409,-98.0269,no,America/Chicago
ALJ,medium_airport,Alexander Bay Airport,Alexander Bay,ZA,-28.5750,16.5333,no,Africa/Johannesburg
ALM,medium_airport,Alamogordo White Sands Regional Airport,Alamogordo,US,32.8378,-105.9931,no,America/Denver
ALN,medium_airport,St Louis Regional Airport,Alton/St Louis,US,38.8903,-90.0460,no,America/Chicago
ALO,medium_airport,Waterloo Regional Airport,Waterloo,US,42.5571,-92.4003,yes,America/Chicago
ALP,large_airport,Aleppo International Airport,Aleppo,SY,36.1813,37.2269,yes,Asia/Damascus
ALQ,small_airport,Alegrete Novo Airport,Alegrete,BR,-29.8116,-55.8947,no,America/Sao_Paulo
ALR,medium_airport,Alexandra Aerodrome,Alexandra,NZ,-45.2105,169.3711,no,Pacific/Auckland
ALS,medium_airport,San Luis Valley Regional Airport/Bergman Field,Alamosa,US,37.4349,-105.8670,yes,America/Denver
ALT,small_airport,Alenquer Municipal Airport,Alenquer,BR,-1.9170,-54.7231,no,America/Santarem
ALU,small_airport,Alula Airport,Alula,SO,11.9582,50.7480,no,Africa/Mogadishu
ALW,medium_airport,Walla Walla Regional Airport,Walla Walla,US,46.0949,-118.2880,yes,America/Los_Angeles
ALX,small_airport,Thomas C Russell Field,Alexander City,US,32.9147,-85.9630,no,America/Chicago
AMA,medium_airport,Rick Husband Amarillo International Airport,Amarillo,US,35.2179,-101.7064,yes,America/Chicago
AMB,small_airport,Ambilobe Airport,,MG,-13.1884,48.9880,no,Indian/Antananarivo
AMC,small_airport,Am Timan Airport,Am Timan,TD,11.0340,20.2740,no,Africa/Ndjamena
AMD,large_airport,Sardar Vallabh Patel International Airport,Ahmedabad,IN,23.0772,72.6347,yes,Asia/Kolkata
AME,small_airport,Alto Molocue Airport,Alto Molocue,MZ,-15.6103,37.6814,no,Africa/Maputo
AMF,small_airport,Ama Airport,,PG,-4.1011,141.6700,no,Pacific/Port_Moresby
AMH,medium_airport,Arba Minch Airport,Arba Minch,ET,6.0394,37.5905,yes,Africa/Addis_Ababa
AMJ,small_airport,Cirilo Queiróz Airport,Almenara,BR,-16.1656,-40.6840,no,America/Sao_Paulo
AMK,small_airport,Animas Air Park,Durango,US,37.2032,-107.8690,no,America/Denver
AML,small_airport,Puerto Armuelles Airport,Puerto Armuelles,PA,8.2677,-82.8645,no,America/Panama
AMM,large_airport,Queen Alia International Airport,Amman,JO,31.7226,35.9932,yes,Asia/Amman
AMN,small_airport,Gratiot Community Airport,Alma,US,43.3221,-84.6880,no,America/Detroit
AMO,small_airport,Mao Airport,Mao,TD,14.1456,15.3144,no,Africa/Ndjamena
AMP,small_airport,Ampanihy Airport,Ampanihy,MG,-24.6997,44.7342,no,Indian/Antananarivo
AMQ,large_airport,Pattimura International Airport,Ambon,ID,-3.7103,128.0890,yes,Asia/Jayapura
AMS,large_airport,Amsterdam Airport Schiphol,Amsterdam,NL,52.3086,4.7639,yes,Europe/Amsterdam
AMT,small_airport,Amata Airport,,AU,-26.0974,131.2027,no,Australia/Adelaide
AMU,small_airport,Amanab Airport,Amanab,PG,-3.5860,141.2143,no,Pacific/Port_Moresby
AMV,medium_airport,Amderma Airport,Amderma,RU,69.7633,61.5564,yes,Europe/Moscow
AMW,small_airport,Ames Municipal Airport,Ames,US,41.9920,-93.6218,no,America/Chicago
AMX,small_airport,Ammaroo Airport,,AU,-21.7383,135.2420,no,Australia/Darwin
AMY,small_airport,Ambatomainty Airport,,MG,-17.6867,45.6239,no,Indian/Antananarivo
AMZ,medium_airport,Ardmore Airport,Manurewa,NZ,-37.0297,174.9730,no,Pacific/Auckland
