iata,type,name,municipality,iso_country,latitude,longitude,scheduled,tz
GCN,medium_airport,Grand Canyon National Park Airport,Grand Canyon - Tusayan,US,35.9524,-112.1470,yes,America/Phoenix
GCT,small_airport,Grand Canyon Bar Ten Airstrip,Littlefield,US,36.2580,-113.2311,no,America/Phoenix
GCV,small_airport,Gravatai Airport,Gravatai,BR,-29.9494,-50.9851,no,America/Sao_Paulo
GCW,small_airport,Grand Canyon West Airport,Peach Springs,US,35.9858,-113.8171,no,America/Phoenix
GCY,small_airport,Greeneville Municipal Airport,Greeneville,US,36.1956,-82.8115,no,America/New_York
GDB,medium_airport,Gondia Airport,Gondia,IN,21.5268,80.2903,yes,Asia/Kolkata
GDC,small_airport,Donaldson Field Airport,Greenville,US,34.7583,-82.3764,no,America/New_York
GDD,small_airport,Gordon Downs Airport,Gordon Downs,AU,-18.6781,128.5920,no,Australia/Perth
GDE,medium_airport,Gode Airport,Gode,ET,5.9351,43.5786,yes,Africa/Addis_Ababa
GDI,small_airport,Gordil Airport,Melle,CF,9.5811,21.7282,no,Africa/Bangui
GDL,large_airport,Guadalajara International Airport,Guadalajara,MX,20.5233,-103.3101,yes,America/Mexico_City
GDM,small_airport,Gardner Municipal Airport,Gardner,US,42.5500,-72.0161,no,America/New_York
GDN,large_airport,Gdańsk Lech Wałęsa Airport,Gdańsk,PL,54.3776,18.4662,yes,Europe/Warsaw
GDO,medium_airport,Guasdualito Airport,Guasdualito,VE,7.2108,-70.7564,no,America/Caracas
GDP,small_airport,Guadalupe Airport,Guadalupe,BR,-6.7822,-43.5822,no,America/Fortaleza
GDQ,medium_airport,Gondar Airport,Azezo,ET,12.5199,37.4340,yes,Africa/Addis_Ababa
GDR,small_airport,Angra dos Reis Airport,Angra dos Reis,BR,-22.9753,-44.3071,no,America/Sao_Paulo
GDT,medium_airport,JAGS McCartney International Airport,Cockburn Town,TC,21.4445,-71.1423,yes,America/Grand_Turk
GDV,medium_airport,Dawson Community Airport,Glendive,US,47.1377,-104.8069,yes,America/Denver
GDW,small_airport,Gladwin Zettel Memorial Airport,Gladwin,US,43.9706,-84.4750,no,America/Detroit
GDX,medium_airport,Sokol Airport,Magadan,RU,59.9110,150.7200,yes,Asia/Magadan
GDZ,medium_airport,Gelendzhik Airport,Gelendzhik,RU,44.5821,38.0125,yes,Europe/Moscow
GEA,medium_airport,Nouméa Magenta Airport,Nouméa,NC,-22.2577,166.4728,yes,Pacific/Noumea
GEB,small_airport,Gebe Airport,Gebe Island,ID,-0.0789,129.4580,no,Asia/Jayapura
GEC,medium_airport,Lefkoniko Airport / Geçitkale Air Base,Lefkoniko (Geçitkale),CY,35.2359,33.7201,yes,Asia/Famagusta
GED,small_airport,Delaware Coastal Airport,Georgetown,US,38.6892,-75.3589,no,America/New_York
